 2019-06-07 07:29:34 +0000,	refs/remotes/origin/greenkeeper/i18next-17.0.3
 2019-06-07 00:33:47 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.7
 2019-06-06 18:46:49 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.6
 2019-06-06 06:39:43 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.10.0
 2019-06-06 06:25:19 +0000,	refs/remotes/origin/greenkeeper/i18next-17.0.2
 2019-06-05 22:22:51 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.5
 2019-06-05 17:19:51 +0000,	refs/remotes/origin/greenkeeper/husky-2.4.0
 2019-06-05 00:32:32 +0000,	refs/remotes/origin/greenkeeper/codeceptjs-2.1.4
 2019-06-04 10:30:47 +0000,	refs/remotes/origin/greenkeeper/i18next-17.0.1
 2019-06-04 07:01:26 +0000,	refs/remotes/origin/greenkeeper/i18next-17.0.0
 2019-06-03 10:11:33 +0000,	refs/remotes/origin/greenkeeper/i18next-16.0.0
 2019-05-31 19:55:10 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.6
 2019-05-31 09:06:08 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.5
 2019-05-30 18:31:10 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.4
 2019-05-28 19:41:27 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.3
 2019-05-28 12:43:39 +0000,	refs/remotes/origin/greenkeeper/sonarqube-scanner-2.4.1
 2019-05-28 07:10:41 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.4
 2019-05-26 08:01:25 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.3
 2019-05-24 21:37:15 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.2
 2019-05-23 14:58:50 +0000,	refs/remotes/origin/greenkeeper/i18next-15.1.3
 2019-05-23 09:50:50 +0000,	refs/remotes/origin/greenkeeper/file-type-11.1.0
 2019-05-21 10:44:46 +0000,	refs/remotes/origin/greenkeeper/codeceptjs-2.1.3
 2019-05-21 05:58:06 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.1
 2019-05-20 15:13:39 +0000,	refs/remotes/origin/greenkeeper/i18next-15.1.2
 2019-05-20 14:03:48 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.9.0
 2019-05-19 13:18:52 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.8.6
 2019-05-17 07:35:54 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.8.5
 2019-05-14 22:55:30 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.8.4
 2019-05-14 22:29:08 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.2
 2019-05-14 21:01:11 +0000,	refs/remotes/origin/greenkeeper/@types/nock-10.0.3
 2019-05-14 17:56:48 +0000,	refs/remotes/origin/greenkeeper/husky-2.3.0
 2019-05-14 10:13:33 +0000,	refs/remotes/origin/greenkeeper/i18next-15.1.1
 2019-05-13 22:53:49 +0000,	refs/remotes/origin/greenkeeper/codeceptjs-2.1.2
 2019-05-13 20:53:07 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.1
 2019-05-10 02:54:27 +0000,	refs/remotes/origin/greenkeeper/nyc-14.1.1
 2019-05-08 19:03:25 +0000,	refs/remotes/origin/greenkeeper/@types/nock-10.0.2
 2019-05-07 09:05:14 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.8.3
 2019-05-06 18:07:48 +0000,	refs/remotes/origin/greenkeeper/gulp-4.0.2
 2019-05-06 16:52:16 +0000,	refs/remotes/origin/greenkeeper/webdriverio-5.8.2
 2019-05-04 15:37:33 +0000,	refs/remotes/origin/greenkeeper/codeceptjs-2.1.1
 2019-05-04 10:34:16 +0000,	refs/remotes/origin/greenkeeper/file-type-11.0.0
 2019-05-03 22:02:19 +0000,	refs/remotes/origin/greenkeeper/@types/node-12.0.0
 2019-05-02 13:30:28 +0000,	refs/remotes/origin/greenkeeper/nyc-14.1.0
